fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-12-28,AS,AS,AS,904,AS,N614AS,904,11630,FAI,"Fairbanks, AK",10299,ANC,"Anchorage, AK",750,740,-10,21,801,846,4,900,850,-10,0,,0,N,70,70,45,1,261,,,,,,,,,
2019-05-06,UA,UA,UA,1103,UA,N68453,1103,11292,DEN,"Denver, CO",12266,IAH,"Houston, TX",937,936,-1,14,950,1239,4,1256,1243,-13,0,,0,N,139,127,109,1,862,,,,,,,,,
2018-12-12,UA,UA,UA,1562,UA,N69804,1562,11292,DEN,"Denver, CO",14057,PDX,"Portland, OR",1735,1803,28,28,1831,2001,4,1916,2005,49,0,,0,N,161,182,150,1,991,28,0,21,0,0,,,,
2019-09-10,AS,AS,AS,1172,AS,N638VA,1172,14057,PDX,"Portland, OR",10721,BOS,"Boston, MA",1550,1559,9,11,1610,4,4,10,8,-2,0,,0,N,320,309,294,1,2537,,,,,,,,,
2018-01-13,DL,DL_CODESHARE,DL,4027,9E,N8839E,4027,12478,JFK,"New York, NY",12264,IAD,"Washington, DC",855,1001,66,27,1028,1121,8,1032,1129,57,0,,0,N,97,88,53,1,228,40,0,0,0,17,,,,
2019-02-21,DL,DL,DL,2157,DL,N804DN,2157,12451,JAX,"Jacksonville, FL",10397,ATL,"Atlanta, GA",730,726,-4,13,739,830,27,851,857,6,0,,0,N,81,91,51,1,270,,,,,,,,,
2018-09-23,AA,AA,AA,2335,AA,N973AN,2335,10140,ABQ,"Albuquerque, NM",11298,DFW,"Dallas/Fort Worth, TX",641,634,-7,12,646,905,17,931,922,-9,0,,0,N,110,108,79,1,569,,,,,,,,,
2019-01-22,HA,HA,HA,22,HA,N396HA,22,12173,HNL,"Honolulu, HI",14747,SEA,"Seattle, WA",1425,1445,20,15,1500,2219,8,2200,2227,27,0,,0,N,335,342,319,1,2677,27,0,0,0,0,,,,
2019-04-17,AS,AS,AS,16,AS,N431AS,16,14747,SEA,"Seattle, WA",13204,MCO,"Orlando, FL",830,828,-2,23,851,1641,11,1715,1652,-23,0,,0,N,345,324,290,1,2554,,,,,,,,,
2019-09-29,AA,AA_CODESHARE,AA,4919,PT,N643AE,4919,14100,PHL,"Philadelphia, PA",14524,RIC,"Richmond, VA",2034,2028,-6,14,2042,2123,5,2144,2128,-16,0,,0,N,70,60,41,1,198,,,,,,,,,
2019-05-24,WN,WN,WN,1387,WN,N8556Z,1387,12339,IND,"Indianapolis, IN",13204,MCO,"Orlando, FL",1850,1850,0,6,1856,2046,5,2100,2051,-9,0,,0,N,130,121,110,1,829,,,,,,,,,
2019-02-22,UA,UA_CODESHARE,UA,6186,YV,N87318,6186,12266,IAH,"Houston, TX",11481,ECP,"Panama City, FL",1955,2007,12,27,2034,2148,3,2135,2151,16,0,,0,N,100,104,74,1,572,16,0,0,0,0,,,,
2018-05-02,DL,DL,DL,1240,DL,N895DN,1240,10397,ATL,"Atlanta, GA",15376,TUS,"Tucson, AZ",1025,1026,1,16,1042,1106,4,1112,1110,-2,0,,0,N,227,224,204,1,1541,,,,,,,,,
2018-11-02,WN,WN,WN,1798,WN,N7819A,1798,14771,SFO,"San Francisco, CA",12892,LAX,"Los Angeles, CA",600,555,-5,32,627,721,7,730,728,-2,0,,0,N,90,93,54,1,337,,,,,,,,,
2018-10-27,WN,WN,WN,4173,WN,N8669B,4173,14100,PHL,"Philadelphia, PA",13232,MDW,"Chicago, IL",1510,1505,-5,11,1516,1549,4,1615,1553,-22,0,,0,N,125,108,93,1,668,,,,,,,,,
2019-03-02,DL,DL,DL,2093,DL,N364DX,2093,12478,JFK,"New York, NY",13204,MCO,"Orlando, FL",1125,1156,31,29,1225,1435,12,1416,1447,31,0,,0,N,171,171,130,1,944,31,0,0,0,0,,,,
2019-12-13,WN,WN,WN,324,WN,N8659D,324,10821,BWI,"Baltimore, MD",13204,MCO,"Orlando, FL",1815,1815,0,11,1826,2036,8,2050,2044,-6,0,,0,N,155,149,130,1,787,,,,,,,,,
2018-01-27,WN,WN,WN,4237,WN,N773SA,4237,14107,PHX,"Phoenix, AZ",10792,BUF,"Buffalo, NY",1015,1056,41,12,1108,1648,2,1630,1650,20,0,,0,N,255,234,220,1,1912,0,0,0,0,20,,,,
2018-04-01,UA,UA,UA,1704,UA,N830UA,1704,12451,JAX,"Jacksonville, FL",13930,ORD,"Chicago, IL",735,754,19,12,806,912,11,913,923,10,0,,0,N,158,149,126,1,864,,,,,,,,,
2018-09-25,WN,WN,WN,4836,WN,N8620H,4836,12889,LAS,"Las Vegas, NV",14831,SJC,"San Jose, CA",2100,2116,16,9,2125,2223,2,2220,2225,5,0,,0,N,80,69,58,1,386,,,,,,,,,
2019-06-22,AA,AA,AA,2683,AA,N152AA,2683,14771,SFO,"San Francisco, CA",11298,DFW,"Dallas/Fort Worth, TX",1725,1941,136,27,2008,55,22,2256,117,141,0,,0,N,211,216,167,1,1464,0,0,5,0,136,,,,
2019-08-25,WN,WN,WN,3850,WN,N7824A,3850,11292,DEN,"Denver, CO",10800,BUR,"Burbank, CA",2005,2033,28,9,2042,2136,8,2135,2144,9,0,,0,N,150,131,114,1,850,,,,,,,,,
2018-12-19,AA,AA_CODESHARE,AA,6099,CP,N218NN,6099,12892,LAX,"Los Angeles, CA",12266,IAH,"Houston, TX",1255,1248,-7,29,1317,1806,40,1813,1846,33,0,,0,N,198,238,169,1,1379,0,0,33,0,0,,,,
2018-04-25,HA,HA,HA,367,HA,N478HA,367,12758,KOA,"Kona, HI",12173,HNL,"Honolulu, HI",831,823,-8,13,836,904,5,918,909,-9,0,,0,N,47,46,28,1,163,,,,,,,,,
2018-10-17,UA,UA,UA,2153,UA,N37507,2153,12266,IAH,"Houston, TX",13930,ORD,"Chicago, IL",1646,1640,-6,30,1710,1910,24,1927,1934,7,0,,0,N,161,174,120,1,925,,,,,,,,,
2019-10-17,F9,F9,F9,2139,F9,N303FR,2139,12266,IAH,"Houston, TX",12889,LAS,"Las Vegas, NV",2239,37,118,12,49,131,7,2356,138,102,0,,0,N,197,181,162,1,1222,0,0,0,0,102,,,,
2018-02-15,DL,DL_CODESHARE,DL,5005,9E,N8972E,5005,13487,MSP,"Minneapolis, MN",11898,GFK,"Grand Forks, ND",1520,1516,-4,12,1528,1617,4,1645,1621,-24,0,,0,N,85,65,49,1,284,,,,,,,,,
2018-11-18,AA,AA,AA,632,AA,N194UW,632,14307,PVD,"Providence, RI",11057,CLT,"Charlotte, NC",739,734,-5,12,746,943,14,1014,957,-17,0,,0,N,155,143,117,1,683,,,,,,,,,
2019-06-23,AA,AA_CODESHARE,AA,3751,MQ,N843AE,3751,12953,LGA,"New York, NY",11042,CLE,"Cleveland, OH",1930,1922,-8,26,1948,2055,3,2115,2058,-17,0,,0,N,105,96,67,1,419,,,,,,,,,
2019-08-06,AA,AA_CODESHARE,AA,4664,YX,N134HQ,4664,14100,PHL,"Philadelphia, PA",14576,ROC,"Rochester, NY",1900,1857,-3,32,1929,2018,4,2029,2022,-7,0,,0,N,89,85,49,1,257,,,,,,,,,
2019-06-06,AA,AA,AA,2077,AA,N744P,2077,14122,PIT,"Pittsburgh, PA",11057,CLT,"Charlotte, NC",1206,1209,3,12,1221,1320,14,1336,1334,-2,0,,0,N,90,85,59,1,366,,,,,,,,,
2019-06-23,UA,UA_CODESHARE,UA,3468,YX,N729YX,3468,12266,IAH,"Houston, TX",10397,ATL,"Atlanta, GA",1430,1523,53,33,1556,1831,18,1754,1849,55,0,,0,N,144,146,95,1,689,0,0,55,0,0,,,,
